# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.05000000        	2        	-4.22018957         -1.00000000         1.00000000         4.22018957         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.10000000        	2        	-4.31740663         -1.00000000         1.00000000         4.31740663         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.15000000        	2        	-4.41474801         -1.00000000         1.00000000         4.41474801         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.20000000        	2        	-4.51220567         -1.00000000         1.00000000         4.51220567         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.25000000        	2        	-4.60977223         -1.00000000         1.00000000         4.60977223         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.30000000        	2        	-4.70744092         -1.00000000         1.00000000         4.70744092         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.35000000        	2        	-4.80520551         -1.00000000         1.00000000         4.80520551         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.40000000        	2        	-4.90306027         -1.00000000         1.00000000         4.90306027         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.45000000        	2        	-5.00099990         -1.00000000         1.00000000         5.00099990         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.50000000        	2        	-5.09901951         -1.00000000         1.00000000         5.09901951         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.55000000        	2        	-5.19711458         -1.00000000         1.00000000         5.19711458         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.60000000        	2        	-5.29528092         -1.00000000         1.00000000         5.29528092         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.65000000        	2        	-5.39351462         -1.00000000         1.00000000         5.39351462         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.70000000        	2        	-5.49181209         -1.00000000         1.00000000         5.49181209         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.75000000        	2        	-5.59016994         -1.00000000         1.00000000         5.59016994         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.80000000        	2        	-5.68858506         -1.00000000         1.00000000         5.68858506         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.85000000        	2        	-5.78705452         -1.00000000         1.00000000         5.78705452         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.90000000        	2        	-5.88557559         -1.00000000         1.00000000         5.88557559         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
2.95000000        	2        	-5.98414572         -1.00000000         1.00000000         5.98414572         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
3.00000000        	2        	-6.08276253         -1.00000000         1.00000000         6.08276253         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
.00000000        	3        	-2.00000000         -2.00000000         -.00000000         -.00000000         .00000000         .00000000
# 1st k-eigenvalues of Ising hamiltonian with 1) lambda, 2) n spin particles 3) time
.05000000        	3        	-2.00325035         -2.00300098         -.05000000         -.04975062         .04975062         .05000000
